Invoice No.,Invoice Date,Due Date,Supplier Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Notes
AP-2001,2025-01-03,2025-09-18,Gulf Tech Solutions LLC,IT Hardware Supply,32500,Paid,TRN77890,5,2025-09-15,
AP-2002,2025-01-07,2025-09-22,Emirates Logistics FZC,Freight Services,18200,Not paid,TRN88901,5,,
AP-2003,2025-01-10,2025-09-10,Desert Catering Services,Corporate Catering,7600,Overdue,TRN99012,5,,
AP-2004,2025-01-12,2025-09-27,Arabian Construction Co.,Facility Renovation,45200,Paid,TRN10123,5,2025-09-26,
AP-2005,2025-01-15,2025-10-30,Blue Sky IT Systems,Software Licenses,16800,Not paid,TRN11234,5,,
AP-2006,2025-01-18,2025-09-02,Al Noor Stationery,Office Supplies,5400,Paid,TRN22345,5,2025-09-01,
AP-2007,2025-01-20,2025-09-20,MedCare Pharma LLC,Medicines Supply,24800,Overdue,TRN33456,5,,
AP-2008,2025-01-23,2025-11-07,Desert Catering Services,Pantry Services,6700,Not paid,TRN99012,5,,
AP-2009,2025-01-26,2025-09-25,Gulf Tech Solutions LLC,Network Maintenance,15400,Paid,TRN77890,5,2025-09-24,
AP-2010,2025-01-28,2025-09-30,Arabian Construction Co.,Building Repairs,19800,Not paid,TRN10123,5,,
AP-2011,2025-02-01,2025-09-15,Emirates Logistics FZC,Cargo Handling,9500,Overdue,TRN88901,5,,
AP-2012,2025-02-03,2025-09-28,Blue Sky IT Systems,Cloud Subscription,11200,Paid,TRN11234,5,2025-09-27,
AP-2013,2025-02-06,2025-10-21,Al Noor Stationery,Printing Materials,4200,Not paid,TRN22345,5,,
AP-2014,2025-02-08,2025-09-05,MedCare Pharma LLC,Hospital Supplies,19800,Overdue,TRN33456,5,,
AP-2015,2025-02-10,2025-09-26,Gulf Tech Solutions LLC,Data Center Equipment,37800,Paid,TRN77890,5,2025-09-25,
AP-2016,2025-02-12,2025-10-12,Desert Catering Services,Cafeteria Catering,8800,Not paid,TRN99012,5,,
AP-2017,2025-02-15,2025-09-12,Arabian Construction Co.,Civil Works,46000,Overdue,TRN10123,5,,
AP-2018,2025-02-17,2025-09-27,Blue Sky IT Systems,Software Implementation,15800,Paid,TRN11234,5,2025-09-26,
AP-2019,2025-02-19,2025-10-15,Emirates Logistics FZC,Warehousing Services,12100,Not paid,TRN88901,5,,
AP-2020,2025-02-21,2025-09-14,MedCare Pharma LLC,Pharma Distribution,21800,Overdue,TRN33456,5,,
AP-2021,2025-02-24,2025-09-22,Al Noor Stationery,Office Furniture,9800,Paid,TRN22345,5,2025-09-21,
AP-2022,2025-02-26,2025-10-02,Gulf Tech Solutions LLC,IT Security Services,26900,Not paid,TRN77890,5,,
AP-2023,2025-02-28,2025-09-17,Arabian Construction Co.,Structural Engineering,33000,Overdue,TRN10123,5,,
AP-2024,2025-03-02,2025-09-26,Blue Sky IT Systems,ERP Support,12700,Paid,TRN11234,5,2025-09-25,
AP-2025,2025-03-04,2025-10-05,Emirates Logistics FZC,Customs Clearance,14600,Not paid,TRN88901,5,,
AP-2026,2025-03-06,2025-09-19,Desert Catering Services,Event Catering,7700,Overdue,TRN99012,5,,
AP-2027,2025-03-08,2025-09-23,Al Noor Stationery,Stationery Supply,3600,Paid,TRN22345,5,2025-09-22,
AP-2028,2025-03-10,2025-10-08,MedCare Pharma LLC,Clinical Kits,14300,Not paid,TRN33456,5,,
AP-2029,2025-03-12,2025-09-16,Gulf Tech Solutions LLC,Software Development,29900,Overdue,TRN77890,5,,
AP-2030,2025-03-14,2025-09-25,Arabian Construction Co.,Electrical Works,22000,Paid,TRN10123,5,2025-09-24,
