Customer Name,date,days_delayed_q20,days_delayed_q50,days_delayed_q80,estimate_amount_percent_q20,estimate_amount_percent_q50,estimate_amount_percent_q80,payment_date,invoice_amount,collected_amount
Alpha Trading LLC,9/1/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/2/2025,,-3,,,0.977210178,,10/29/2025,13603.88,13293.85
Alpha Trading LLC,9/3/2025,,1,,,0.971247835,,11/3/2025,10887.18,10574.15
Alpha Trading LLC,9/4/2025,,-3,,,0.807398544,,10/31/2025,19874.72,16046.82
Alpha Trading LLC,9/5/2025,,1,,,0.964638299,,10/21/2025,7539.23,7272.63
Alpha Trading LLC,9/6/2025,,-2,,,0.949958007,,11/3/2025,5143.68,4886.28
Alpha Trading LLC,9/7/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/8/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/9/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/10/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/11/2025,,-1,,,0.839599041,,11/9/2025,7415.23,6225.82
Alpha Trading LLC,9/12/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/13/2025,,2,,,0.914548205,,10/15/2025,22650.08,20714.59
Alpha Trading LLC,9/14/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/15/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/16/2025,,0,,,0.841581404,,10/16/2025,20378.1,17149.83
Alpha Trading LLC,9/17/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/18/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/19/2025,,2,,,0.837658919,,11/5/2025,5584.6,4677.99
Alpha Trading LLC,9/20/2025,,1,,,0.929175781,,10/21/2025,24266.84,22548.16
Alpha Trading LLC,9/21/2025,,0,,,0.927577818,,11/5/2025,21885.56,20300.56
Alpha Trading LLC,9/22/2025,,2,,,0.81410784,,10/24/2025,6840.31,5568.75
Alpha Trading LLC,9/23/2025,,-3,,,0.867843511,,10/20/2025,20477.92,17771.63
Alpha Trading LLC,9/24/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/25/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/26/2025,,1,,,0.942039394,,11/11/2025,23420.39,22062.93
Alpha Trading LLC,9/27/2025,,1,,,0.832432645,,10/28/2025,20826.67,17336.8
Alpha Trading LLC,9/28/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/29/2025,,0,,,0,,,0,0
Alpha Trading LLC,9/30/2025,,-2,,,0.809862297,,11/12/2025,15597.38,12631.73
Alpha Trading LLC,10/1/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/2/2025,,1,,,0.957649548,,11/17/2025,6854,6563.73
Alpha Trading LLC,10/3/2025,,-2,,,0.99741739,,11/15/2025,24285.51,24222.79
Alpha Trading LLC,10/4/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/5/2025,,-2,,,0.948626443,,11/17/2025,15223.98,14441.87
Alpha Trading LLC,10/6/2025,,-2,,,0.841992296,,11/3/2025,21953.36,18484.56
Alpha Trading LLC,10/7/2025,,-2,,,0.829858247,,11/4/2025,8014.67,6651.04
Alpha Trading LLC,10/8/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/9/2025,,1,,,0.837976659,,11/24/2025,5766.7,4832.36
Alpha Trading LLC,10/10/2025,,1,,,0.802718802,,11/25/2025,11961.15,9601.44
Alpha Trading LLC,10/11/2025,,0,,,0.843905849,,11/25/2025,18180.63,15342.74
Alpha Trading LLC,10/12/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/13/2025,,1,,,0.86106142,,11/13/2025,19101.39,16447.47
Alpha Trading LLC,10/14/2025,,1,,,0.95472922,,11/29/2025,13381.7,12775.9
Alpha Trading LLC,10/15/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/16/2025,,-1,,,0.835833604,,11/14/2025,24933.97,20840.65
Alpha Trading LLC,10/17/2025,,0,,,0.854333514,,12/1/2025,17587.23,15025.36
Alpha Trading LLC,10/18/2025,,-3,,,0.883978324,,12/14/2025,10182.58,9001.18
Alpha Trading LLC,10/19/2025,,0,,,0.826801025,,12/18/2025,16243.11,13429.82
Alpha Trading LLC,10/20/2025,,0,,,0.969875772,,11/19/2025,22577.84,21897.7
Alpha Trading LLC,10/21/2025,,2,,,0.898030255,,12/22/2025,18070.36,16227.73
Alpha Trading LLC,10/22/2025,,-1,,,0.914161813,,12/20/2025,13612.24,12443.79
Alpha Trading LLC,10/23/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/24/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/25/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/26/2025,,-1,,,0.859898667,,12/9/2025,7152.68,6150.58
Alpha Trading LLC,10/27/2025,,-3,,,0.832538105,,11/23/2025,7436.02,6190.77
Alpha Trading LLC,10/28/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/29/2025,,2,,,0.95662586,,11/30/2025,12280.82,11748.15
Alpha Trading LLC,10/30/2025,,0,,,0,,,0,0
Alpha Trading LLC,10/31/2025,,0,,,0.972730166,,11/30/2025,16777.88,16320.35
Alpha Trading LLC,11/1/2025,-2,0,1,-0.001562166,0.860950977,0.93135544,12/31/2025,24533,21121.71
Alpha Trading LLC,11/2/2025,-2,0,1,0.025539839,0.88538583,0.928560766,1/1/2026,8827,7815.3
