Invoice Date,Customer ID,Invoice ID,Invoice Amount,Payment Term (Days),Payment Date,Days Delayed,Collected Amount,Outstanding Amount,Credit Note,Region,Segment
5/1/2025,CUST_D,INV-6547,8059.49,60,8/25/2025,56,6662.16,1397.33,0,North,Enterprise
5/1/2025,CUST_D,INV-6683,18994.89,60,8/27/2025,58,18247.8,747.09,0,North,SME
5/1/2025,CUST_A,INV-6712,19370.63,60,6/28/2025,-2,15553.99,3467.09,349.55,South,Mid-Market
5/1/2025,CUST_C,INV-6304,20689.85,45,7/1/2025,16,19906.48,678,105.37,East,Mid-Market
5/1/2025,CUST_A,INV-6317,5606.24,60,7/1/2025,1,5418.64,187.6,0,North,SME
5/1/2025,CUST_D,INV-6596,13675.08,45,8/12/2025,58,12717.88,469.3,487.9,North,Enterprise
5/2/2025,CUST_B,INV-6020,8914.1,60,7/4/2025,3,7537.2,1376.9,0,East,Enterprise
5/2/2025,CUST_E,INV-6681,15202.42,30,6/5/2025,4,12383.5,2818.92,0,South,Enterprise
5/2/2025,CUST_C,INV-6883,15002.11,30,6/22/2025,21,12196.41,2430.41,375.29,North,SME
5/2/2025,CUST_D,INV-6998,16245.46,60,9/3/2025,64,15812.44,115.87,317.15,East,Mid-Market
5/2/2025,CUST_B,INV-6943,15974.51,30,6/3/2025,2,15912.33,62.18,0,West,Enterprise
5/2/2025,CUST_D,INV-6471,22849.01,60,9/2/2025,63,22820.63,28.38,0,West,Mid-Market
5/2/2025,CUST_D,INV-6155,23162.82,45,8/17/2025,62,19594.87,3314.59,253.36,West,SME
5/2/2025,CUST_C,INV-6362,20182.79,30,6/20/2025,19,18161.51,1761.01,260.27,North,Mid-Market
5/2/2025,CUST_E,INV-6764,5518.23,60,7/12/2025,11,5210.94,307.29,0,East,SME
5/2/2025,CUST_D,INV-6709,5987.69,45,8/15/2025,60,5437.66,550.03,0,South,Mid-Market
5/3/2025,CUST_E,INV-6688,15053.53,30,6/24/2025,22,13849.71,787.24,416.58,East,Mid-Market
5/3/2025,CUST_C,INV-6443,15712.17,30,6/21/2025,19,14485.33,904.52,322.32,South,Mid-Market
5/3/2025,CUST_A,INV-6520,14455.96,45,6/18/2025,1,13664.22,791.74,0,West,Mid-Market
5/3/2025,CUST_B,INV-6428,9451.24,30,5/31/2025,-2,8800.15,651.09,0,East,SME
5/3/2025,CUST_B,INV-6054,10195.05,45,6/15/2025,-2,10051.14,143.91,0,North,SME
5/3/2025,CUST_E,INV-6175,20289.55,30,6/25/2025,23,16781.45,3437.83,70.27,South,SME
5/3/2025,CUST_B,INV-6873,9271.08,60,7/3/2025,1,7994.58,910.36,366.14,North,Mid-Market
5/4/2025,CUST_D,INV-6058,16370.32,30,8/5/2025,63,13894.41,2008.89,467.02,South,SME
5/4/2025,CUST_E,INV-6062,16885.43,30,6/20/2025,17,13764.58,3048.32,72.53,North,Enterprise
5/4/2025,CUST_D,INV-6230,15473.74,45,8/22/2025,65,13937.54,1516.57,19.63,West,Mid-Market
5/4/2025,CUST_A,INV-6078,21386.94,60,7/1/2025,-2,21215.99,149.44,21.51,West,SME
5/4/2025,CUST_C,INV-6522,14298.69,60,7/24/2025,21,14255.14,43.55,0,East,Mid-Market
5/4/2025,CUST_D,INV-6447,10665.06,30,8/4/2025,62,8543.36,2121.7,0,South,Mid-Market
5/4/2025,CUST_A,INV-6806,6179.07,45,6/18/2025,0,5602.14,456.8,120.13,East,SME
5/5/2025,CUST_D,INV-6711,8914.02,60,8/31/2025,58,7486.54,1271.03,156.45,East,Enterprise
5/5/2025,CUST_A,INV-6715,8287.23,45,6/17/2025,-2,7039.61,774.12,473.5,South,Mid-Market
5/5/2025,CUST_E,INV-6288,23818.64,60,7/26/2025,22,23713.32,105.32,0,North,Mid-Market
5/5/2025,CUST_D,INV-6275,19798.82,60,9/5/2025,63,16661.89,3136.93,0,East,Mid-Market
5/5/2025,CUST_A,INV-6273,16300.79,45,6/18/2025,-1,15653.46,609.18,38.15,North,Enterprise
5/5/2025,CUST_C,INV-6708,20756.53,45,7/7/2025,18,19019.46,1371.04,366.03,South,Mid-Market
5/5/2025,CUST_B,INV-6499,17258.46,30,6/4/2025,0,17246.21,0,198.51,North,SME
5/5/2025,CUST_A,INV-6001,6752.19,45,6/17/2025,-2,5490.34,1261.85,0,West,Mid-Market
5/6/2025,CUST_C,INV-6497,15707.45,45,7/7/2025,17,14218.27,1489.18,0,West,Enterprise
5/6/2025,CUST_A,INV-6518,8306.54,30,6/5/2025,0,8053.11,253.43,0,North,SME
5/6/2025,CUST_C,INV-6638,6314.49,45,7/16/2025,26,5868.5,0,479.03,East,Enterprise
5/6/2025,CUST_B,INV-6612,20596.43,30,6/3/2025,-2,18706.72,1888.19,1.52,West,SME
5/6/2025,CUST_C,INV-6351,14756.71,30,6/28/2025,23,11986.18,2770.53,0,East,SME
5/7/2025,CUST_A,INV-6980,17763.35,45,6/23/2025,2,16824.26,939.09,0,North,SME
5/7/2025,CUST_E,INV-6992,6266.58,45,6/27/2025,6,5372.05,680.44,214.09,North,SME
5/7/2025,CUST_B,INV-6354,10232.35,30,6/7/2025,1,8720.58,1364.95,146.82,South,Enterprise
5/7/2025,CUST_B,INV-6765,11817.9,45,6/23/2025,2,10876.21,568.52,373.17,West,SME
5/7/2025,CUST_D,INV-6938,15550.4,45,8/18/2025,58,12776.47,2773.93,0,West,Enterprise
5/7/2025,CUST_E,INV-6327,17183.81,45,6/16/2025,-5,15374.12,1809.69,0,East,Mid-Market
