customer_id,invoice_date,invoice_id,invoice_amount,payment_term_days,payment_date,days_delayed,collected_amount,outstanding_amount,credit_note,region,segment,amount_percent
CUST_A,2025-05-01,INV-6712,19370.63,60.0,2025-06-28,-2,15553.99,3467.09,349.55,South,Mid-Market,0.8029676887122411
CUST_A,2025-05-02,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,South,Mid-Market,0.0
CUST_A,2025-05-03,INV-6520,14455.96,45.0,2025-06-18,1,13664.22,791.74,0.0,West,Mid-Market,0.94523089438543
CUST_A,2025-05-04,INV-6078,21386.94,60.0,2025-07-01,-2,21215.99,149.44,21.51,West,SME,0.9920068041524408
CUST_A,2025-05-05,INV-6715,8287.23,45.0,2025-06-17,-2,7039.61,774.12,473.5,South,Mid-Market,0.8494527121848917
CUST_A,2025-05-06,INV-6518,8306.54,30.0,2025-06-05,0,8053.11,253.43,0.0,North,SME,0.9694903052293733
CUST_A,2025-05-07,INV-6980,17763.35,45.0,2025-06-23,2,16824.26,939.09,0.0,North,SME,0.9471332828548669
CUST_A,2025-05-08,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-09,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-10,INV-6879,19696.39,30.0,2025-06-06,-3,17786.95,1571.64,337.8,North,SME,0.9030563468737165
CUST_A,2025-05-11,INV-6665,8015.08,30.0,2025-06-07,-3,6682.22,1332.86,0.0,East,Mid-Market,0.8337059642573749
CUST_A,2025-05-12,INV-6894,5305.15,60.0,2025-07-13,2,4693.87,264.64,346.64,North,SME,0.8847761137762363
CUST_A,2025-05-13,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-14,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-15,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-16,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-17,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,North,SME,0.0
CUST_A,2025-05-18,INV-6837,21765.52,45.0,2025-07-04,2,18743.91,3021.61,0.0,South,SME,0.8611744630957587
CUST_A,2025-05-19,NoInvoice,0.0,0.0,,0,0.0,0.0,0.0,South,SME,0.0
CUST_A,2025-05-20,INV-6592,20859.9,45.0,2025-07-03,-1,18970.02,1581.78,308.1,South,SME,0.9094012914731134
CUST_A,2025-05-21,INV-6504,12009.88,45.0,2025-07-02,-3,10149.77,1860.11,0.0,East,Enterprise,0.8451183525563953
