Date,AR,cumulative_AR
2025-12-31,21121.71,21121.71
2026-01-01,44139.82,65261.53
2026-01-02,10233.67,75495.2
2026-01-03,16423.87,91919.07
2026-01-04,43817.78,135736.85
2026-01-05,34059.87,169796.72
2026-01-06,24736.46,194533.18
2026-01-07,14120.28,208653.46
2026-01-08,98189.42,306842.88
2026-01-09,36224.14,343067.02
2026-01-10,107443.63,450510.65
2026-01-11,62495.0,513005.65
2026-01-12,91751.06,604756.71
2026-01-13,82216.35,686973.06
2026-01-14,92664.35,779637.41
2026-01-15,21486.83,801124.24
2026-01-16,87339.19,888463.43
2026-01-17,46960.66,935424.09
2026-01-18,89621.36,1025045.45
2026-01-19,79320.53,1104365.98
2026-01-20,19625.67,1123991.65
2026-01-21,78288.22,1202279.87
2026-01-22,61155.87,1263435.74
2026-01-23,44877.16,1308312.9
2026-01-24,66866.09,1375178.99
2026-01-25,98865.68,1474044.67
2026-01-26,66818.18,1540862.85
2026-01-27,86406.62,1627269.47
2026-01-28,50614.26,1677883.73
2026-01-29,85972.48,1763856.21
2026-01-30,147546.82,1911403.03
2026-01-31,104471.08,2015874.11
2026-02-01,81542.34,2097416.45
2026-02-02,71548.8,2168965.25
2026-02-03,83161.71,2252126.96
2026-02-04,44038.19,2296165.15
2026-02-05,101851.58,2398016.73
2026-02-06,10897.49,2408914.22
2026-02-07,46529.85,2455444.07
2026-02-08,153677.66,2609121.73
2026-02-09,8569.86,2617691.59
2026-02-10,71150.21,2688841.8
2026-02-11,76690.23,2765532.03
2026-02-12,58995.37,2824527.4
2026-02-13,73715.21,2898242.61
2026-02-14,34397.75,2932640.36
2026-02-15,85714.22,3018354.58
2026-02-16,37381.42,3055736.0
2026-02-17,48217.0,3103953.0
2026-02-18,116578.66,3220531.66
2026-02-19,64118.34,3284650.0
2026-02-20,42801.22,3327451.22
2026-02-21,72001.56,3399452.78
2026-02-22,37229.33,3436682.11
2026-02-23,71375.45,3508057.56
2026-02-24,0.0,3508057.56
2026-02-25,74100.37,3582157.93
2026-02-26,0.0,3582157.93
2026-02-27,12496.12,3594654.05
2026-02-28,0.0,3594654.05
2026-03-01,0.0,3594654.05
2026-03-02,14651.05,3609305.1
2026-03-03,21143.58,3630448.68
2026-03-04,23284.2,3653732.88
2026-03-05,18224.89,3671957.77
2026-03-06,37246.88,3709204.65
2026-03-07,37507.74,3746712.39
2026-03-08,36399.8,3783112.19
2026-03-09,5468.79,3788580.98
2026-03-10,0.0,3788580.98
2026-03-11,44350.52,3832931.5
2026-03-12,0.0,3832931.5
2026-03-13,34193.95,3867125.45
2026-03-14,0.0,3867125.45
2026-03-15,25514.4,3892639.85
2026-03-16,12591.07,3905230.92
2026-03-17,28613.09,3933844.01
2026-03-18,32944.38,3966788.39
2026-03-19,54062.61,4020851.0
2026-03-20,0.0,4020851.0
2026-03-21,30689.86,4051540.86
2026-03-22,3620.29,4055161.15
2026-03-23,16059.56,4071220.71
2026-03-24,26362.11,4097582.82
2026-03-25,24425.76,4122008.58
2026-03-26,0.0,4122008.58
2026-03-27,44528.52,4166537.1
2026-03-28,26403.1,4192940.2
2026-03-29,1814.01,4194754.21
2026-03-30,0.0,4194754.21
2026-03-31,28726.94,4223481.15
2026-04-01,37724.26,4261205.41
2026-04-02,30688.17,4291893.58
2026-04-03,31011.79,4322905.37
2026-04-04,48057.46,4370962.83
2026-04-05,18110.61,4389073.44
2026-04-06,33190.97,4422264.41
2026-04-07,0.0,4422264.41
2026-04-08,36525.18,4458789.59
2026-04-09,41621.03,4500410.62
2026-04-10,35448.0,4535858.62
2026-04-11,0.0,4535858.62
2026-04-12,41997.01,4577855.63
2026-04-13,32346.91,4610202.54
2026-04-14,31431.0,4641633.54
2026-04-15,0.0,4641633.54
2026-04-16,34726.39,4676359.93
2026-04-17,42300.44,4718660.37
2026-04-18,13628.67,4732289.04
2026-04-19,0.0,4732289.04
2026-04-20,34503.22,4766792.26
