Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
2023-01-01,Finance,286142,170993,152018,132263,47687,9570,114091,40239,81166,-22921,774028,96828,128327,14,57,-13211,379034,2614785,2650245,1663132,2.44,2.07,-27.15,-14.49,22.97,4.31,21.63,43.15,12.19,182836,5.77,7625,49697,628,60660,486234,129743
2023-01-02,Finance,282357,525424,116850,90335,13682,79093,70289,241195,254908,-22124,27198,44066,184970,85,116,65786,421262,973420,752006,1126075,1.01,2.22,-10.08,21.13,8.4,3.78,40.4,49.03,18.13,262819,7.27,187673,108345,3933,50591,568948,238623
2023-01-03,Finance,95296,127852,126171,168977,98150,115445,98650,273223,54244,99540,661413,111115,88175,117,22,201233,1230384,1363971,1844950,855180,0.98,1.92,-14.17,43.22,21.65,6.64,48.04,22.62,13.64,479322,5.89,197167,60109,4363,26481,365325,444859
2023-01-04,Finance,338303,242001,117581,38227,5886,49130,135691,373159,68938,90952,762733,106241,11105,13,56,-78561,561971,3657057,1741478,1136830,1.72,1.14,27.3,-3.01,19.17,2.41,20.77,31.97,14.03,470684,3.07,50649,236165,830,149332,500219,98776
2023-01-05,Finance,94142,387209,126021,212277,44489,78203,91920,108010,246173,5663,376861,113452,191894,27,101,182889,3751464,2565547,1566678,291324,1.95,1.81,24.54,8.98,11.03,-3.24,51.09,37.37,15.24,322659,7.67,70887,124768,2535,199860,974297,114400
2023-01-06,Finance,136928,484446,141066,175952,49502,11857,113829,43421,239431,28418,538252,126760,34255,79,88,64630,609053,2126700,988181,1657282,2.4,1.59,-10.5,-3.34,-7.35,6.06,26.8,43.09,31.51,74993,6.39,108282,125943,4525,29746,450707,293812
2023-01-07,Finance,431555,129262,29805,71328,46393,8500,694,180577,69933,25118,326527,133734,173360,11,78,87980,4424674,1392952,986343,526893,2.18,2.42,18.35,26.35,23.78,3.6,67.48,6.63,19.06,389361,5.34,185919,100948,1793,83788,64422,356691
2023-01-08,Finance,204211,398152,73420,184806,27959,156279,46758,48469,283147,-34799,366326,12464,37752,44,34,55069,4477054,3489897,2221681,815780,3.0,0.61,19.17,33.21,18.58,7.26,57.15,20.97,15.83,170857,2.97,34678,114635,2160,131641,990079,224321
2023-01-09,Finance,191487,210180,157548,99118,71660,183952,37040,355344,112233,30629,804695,169556,173213,26,102,216838,1138767,686137,2776334,405453,2.62,3.07,-6.57,36.37,5.62,14.97,23.66,20.09,8.91,190208,5.85,161257,294668,3338,59358,475462,400183
2023-01-10,Finance,333084,258375,133764,298928,20154,39047,130786,180769,202307,30349,775760,159165,66606,93,63,149627,1865774,2070997,228208,1768747,2.11,3.37,1.77,44.48,15.34,10.51,67.51,35.15,37.28,285844,5.65,177223,121663,3932,108864,640317,320059
