date,cash_inflow,opex,capex,cash_outflow,cost_per_employee,AP,AR,net_cash,cash_balance
10/9/2025,11219.82,49697,7625,81166,60660,199148,31971.04,-69946.18,4930053.82
10/10/2025,0,108345,187673,254908,50591,601517,49570.32,-254908,4675145.82
10/11/2025,8965.92,60109,197167,54244,26481,338001,77050.05,-45278.08,4629867.74
10/12/2025,10389.33,236165,50649,68938,149332,505084,49269.98,-58548.67,4571319.07
10/13/2025,18495.5,124768,70887,246173,199860,641688,45237.73,-227677.5,4343641.57
10/14/2025,0,125943,108282,239431,29746,503402,25090.88,-239431,4104210.57
10/15/2025,20714.59,100948,185919,69933,83788,440588,17444.94,-49218.41,4054992.16
10/16/2025,35808.46,114635,34678,283147,131641,564101,22889.24,-247338.54,3807653.62
10/17/2025,0,294668,161257,112233,59358,627516,54511,-112233,3695420.62
10/18/2025,0,121663,177223,202307,108864,610057,58523.64,-202307,3493113.62
10/19/2025,21271.27,30848,167418,268758,87771,554795,41216.43,-247486.73,3245626.89
10/20/2025,35446.83,114315,43672,200100,34045,392132,63834.53,-164653.17,3080973.72
10/21/2025,56458.23,276952,31263,230668,58497,597380,38817.73,-174209.77,2906763.95
10/22/2025,0,9432,98916,190647,34335,333330,29325.09,-190647,2716116.95
10/23/2025,0,59488,188022,107368,118046,472924,33417.96,-107368,2608748.95
10/24/2025,22180.94,21630,48821,211404,141438,423293,66242.93,-189223.06,2419525.89
10/25/2025,20314.59,113609,118379,82010,176625,490623,66717.25,-61695.41,2357830.48
10/26/2025,0,89314,180738,72297,95278,437627,62701.15,-72297,2285533.48
10/27/2025,0,111778,72126,42011,84342,310257,54180.71,-42011,2243522.48
10/28/2025,17336.8,105583,157105,150325,188170,601183,77063.4,-132988.2,2110534.28
10/29/2025,23897.17,213337,170630,215366,62475,661808,82840.88,-191468.83,1919065.45
10/30/2025,9003.32,282903,107982,58784,71210,520879,49551.36,-49780.68,1869284.77
10/31/2025,23419.61,162023,179455,127154,119222,587854,62985.26,-103734.39,1765550.38
11/1/2025,30625.99,115781,88082,278061,121068,602992,44687.2,-247435.01,1518115.37
11/2/2025,47334.44,6519,33027,33954,56939,130439,7729.93,13380.44,1531495.81
11/3/2025,77666.02,57258,81172,50272,148059,336761,56449.08,27394.02,1558889.83
11/4/2025,25457.08,277467,179897,256147,65983,779494,50193.31,-230689.92,1328199.91
11/5/2025,24978.55,208656,179517,203882,21200,613255,31553.82,-178903.45,1149296.46
11/6/2025,0,198231,166700,120713,179184,664828,23900.32,-120713,1028583.46
11/7/2025,38416.13,239151,105475,47547,32024,424197,84316.53,-9130.87,1019452.59
11/8/2025,9003.38,149138,49048,149722,135146,483054,14685.99,-140718.62,878733.97
11/9/2025,48022.56,178868,180257,30478,181047,570650,41446.52,17544.56,896278.53
11/10/2025,0,8651,17054,35057,20651,81413,71146.11,-35057,861221.53
11/11/2025,36254.45,135304,117856,249618,141316,644094,42854.04,-213363.55,647857.98
11/12/2025,12631.73,204158,111034,184550,72730,572472,42184.49,-171918.27,475939.71
11/13/2025,48841.81,77444,85297,41636,186615,390992,74937.63,7205.81,483145.52
11/14/2025,60664.36,135188,70169,174786,155732,535875,29582.08,-114121.64,369023.88
11/15/2025,52817.71,207689,102001,84005,79969,473664,6423.2,-31187.29,337836.59
11/16/2025,22691.38,274355,44514,195766,99102,613737,56873.39,-173074.62,164761.97
11/17/2025,42498.36,164891,155546,109787,161651,591875,66642.13,-67288.64,97473.33
11/18/2025,14633.25,69133,188574,160345,101628,519680,57660.85,-145711.75,-48238.42
11/19/2025,44623.58,161644,96407,113566,38081,409698,30681.95,-68942.42,-117180.84
11/20/2025,79190.14,164458,184708,84312,37397,470875,48240.79,-5121.86,-122302.7
11/21/2025,42487.97,130582,67867,79325,181372,459146,54064.7,-36837.03,-159139.73
11/22/2025,0,133892.66,112674.36,135607.5,95389.32,477563.84,49166.94,-135607.5,-294747.23
11/23/2025,71683.13,140390.07,115439.68,136514.19,100252.37,492596.31,83228.85,-64831.06,-359578.29
11/24/2025,9930.38,146466.32,114934.7,136931.9,104166.84,502499.76,41275.5,-127001.52,-486579.81
11/25/2025,24944.18,145221.71,115541.66,134198.18,98905.84,493867.39,51006.06,-109254,-595833.81
11/26/2025,34952.21,138654.78,116094.21,136786.23,99579.78,491115,43830.94,-101834.02,-697667.83
11/27/2025,0,138098.55,113998.83,136966.74,101332.56,490396.68,79161.29,-136966.74,-834634.57
11/28/2025,46255.75,142222.36,114024.52,136003.87,98911.69,491162.44,68229.83,-89748.12,-924382.69
11/29/2025,35792.52,145871.86,115542.93,136865.33,101230.45,499510.57,37096.19,-101072.81,-1025455.5
11/30/2025,28068.5,142669.34,115379.91,137642.07,102631.19,498322.51,44121.76,-109573.57,-1135029.07
12/1/2025,15025.36,139882.03,114611.72,136845.85,100449.26,491788.86,38891.59,-121820.49,-1256849.56
12/2/2025,34067.04,139233.38,115163.73,137146.78,100083.88,491627.77,43052.37,-103079.74,-1359929.3
12/3/2025,29721.86,144372.5,114270.89,137096.64,101897.75,497637.78,41335.24,-107374.78,-1467304.08
12/4/2025,21309.69,146094.45,114861,138097.01,101184.84,500237.3,58273.54,-116787.32,-1584091.4
12/5/2025,34182.2,139497.12,115340.56,138070.67,100700.99,493609.34,64662.67,-103888.47,-1687979.87
12/6/2025,42031.66,138270.9,115331.4,136757.43,102628.01,492987.74,35337.5,-94725.77,-1782705.64
12/7/2025,18330.28,144449.74,115355.77,137310.51,100886.51,498002.53,74570.54,-118980.23,-1901685.87
12/8/2025,28513.46,145749.09,116999.54,140223.66,100997.1,503969.39,90123.37,-111710.2,-2013396.07
12/9/2025,33424.98,139029.84,117164.83,140799.26,100106.24,497100.17,83451,-107374.28,-2120770.35
12/10/2025,42053.06,137530.54,116676.09,141299,99999.04,495504.67,92996,-99245.94,-2220016.29
12/11/2025,63918.5,143882.49,115472.96,139127.15,100938.16,499420.76,110184,-75208.65,-2295224.94
12/12/2025,46255.08,144304.99,114975.38,140115.37,100420.14,499815.88,105508,-93860.29,-2389085.23
12/13/2025,24549.51,139716.23,115416.12,139496.34,100074.64,494703.33,129009,-114946.83,-2504032.06
12/14/2025,20822.33,139200.5,115632.12,139302.15,100561.22,494695.99,146965,-118479.82,-2622511.88
