Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
12/13/2019,HR,431371,216427,57727,225285,7574,71045,120927,390226,81777,29097,826899,141869,51625,95,50,58212,834613,3318554,2148268,1432610,2.3,2.43,-11.75,-18.07,6.53,19.73,17.52,43.33,7.61,103585,9.35,14096,107631,2495,151828,266645,101668
2/2/2019,IT,94199,454707,178944,240037,16599,193996,94142,88152,170627,-18593,111317,157928,183163,118,22,264378,777492,3684104,372101,44244,0.47,2.37,-19.36,41.49,19.83,-4.82,30.27,24.63,28.37,353548,1.62,48557,223500,1768,61977,684747,60003
3/26/2023,IT,361730,389843,28222,128108,37020,61332,16710,257057,60536,65452,548714,20959,100541,14,79,177071,303039,1999797,2281674,733134,2.55,1.19,21.73,44.92,11.8,2.6,66.24,37.68,25.27,172868,1.5,132036,72307,227,103762,368314,124659
1/5/2016,Finance,73151,210956,30376,278325,113521,151142,120182,294165,137194,-40251,532611,154852,48483,94,101,41892,3537163,1729275,213980,1223119,2.85,3.21,1.3,-6.69,8.48,16.41,36.51,10.48,30.42,222040,4.02,93531,137024,321,149336,959269,309035
6/16/2021,Sales,376787,211144,92316,137390,80510,87868,50218,329299,290133,-8188,576339,177113,176954,93,78,-25994,3179655,1826866,990656,29472,1.66,2.03,4.32,18.8,2.14,7.8,67.44,8.48,17.7,305517,2.14,173987,156828,4770,36818,822586,253924
5/11/2022,HR,428842,206867,89986,247006,50297,49679,142143,258433,22753,16530,534956,192507,128878,102,17,37816,4278540,3081702,1409331,963804,2.52,2.48,-15.17,47.17,19.65,9.88,55.87,14.38,22.4,124742,5.66,151642,280090,2823,57134,991055,291864
10/21/2020,Marketing,236473,63835,48143,104580,94701,86378,85316,32286,268463,20671,448912,194276,60409,39,26,-81083,1800090,3891027,932223,1317713,1.46,0.88,11.66,16.0,11.69,4.31,69.14,35.0,12.32,156441,1.84,185163,194257,3430,50897,680099,74831
8/1/2024,HR,296374,105727,70983,157760,35163,85877,2381,107993,22651,-13090,139014,139260,58467,56,13,-6191,3872995,970319,2964134,636042,2.6,0.95,-13.38,17.22,-4.71,14.32,63.81,27.92,34.44,237398,5.37,100667,110021,1070,124310,253352,191457
11/19/2020,HR,376536,452570,191903,164702,68087,89725,-2922,57789,123777,28971,486890,57033,78582,115,94,201829,4688935,1472679,2291329,1471659,0.36,0.78,-17.9,-4.09,7.23,5.63,49.09,8.97,32.08,151839,2.91,16514,203865,91,187075,932576,169146
9/24/2021,Finance,80918,204522,34798,123554,101875,23140,48245,41227,26294,82446,216712,175155,195062,25,76,90491,2203197,93234,538823,963345,1.82,2.72,-4.01,45.65,-8.26,12.32,65.4,32.6,34.34,466699,2.03,6351,130405,432,147331,347677,225824
1/1/2021,Operations,255551,75937,51364,57102,18127,38604,93484,99764,243913,39412,490101,193261,169926,31,116,278202,4070420,3375509,621247,1833453,0.14,1.06,3.83,27.8,-6.4,5.28,69.21,25.44,39.42,415488,4.0,36675,255607,968,73987,295581,68480
9/17/2018,Operations,91173,376197,140305,24844,118382,71762,47819,59552,215552,83467,722254,39612,81671,116,62,158866,4083099,3208949,362069,55559,1.39,2.2,20.1,4.56,-8.85,7.55,10.16,19.51,11.78,222465,8.97,39239,192856,938,143606,239849,282643
